transaction_id,account_id,transaction_date,scheduled_payment,actual_payment_made,payment_variance,payment_status
TXN-00000001,ACC-0001,2024-12-31,4361.0,4361.0,0.0,Paid
TXN-00000002,ACC-0002,2024-11-30,7234.97,7234.97,0.0,Paid
TXN-00000003,ACC-0002,2024-12-31,7234.97,7234.97,0.0,Paid
TXN-00000004,ACC-0003,2024-08-31,4233.83,4233.83,0.0,Paid
TXN-00000005,ACC-0003,2024-09-30,4233.83,4233.83,0.0,Paid
TXN-00000006,ACC-0003,2024-10-31,4233.83,4233.83,0.0,Paid
TXN-00000007,ACC-0003,2024-11-30,4233.83,4233.83,0.0,
TXN-00000008,ACC-0003,2024-12-31,4233.83,4233.83,0.0,Paid
TXN-00000009,ACC-0004,2023-05-31,4829.25,4829.25,0.0,Paid
TXN-00000010,ACC-0004,2023-06-30,4829.25,4829.25,0.0,Paid
TXN-00000011,ACC-0004,2023-07-31,4829.25,4829.25,0.0,Paid
TXN-00000012,ACC-0004,2023-08-31,4829.25,4829.25,0.0,Paid
TXN-00000013,ACC-0004,2023-09-30,4829.25,4829.25,0.0,Paid
TXN-00000014,ACC-0004,2023-10-31,4829.25,4829.25,0.0,Paid
TXN-00000015,ACC-0004,2023-11-30,4829.25,4829.25,0.0,Paid
TXN-00000016,ACC-0004,2023-12-31,4829.25,4829.25,0.0,Paid
TXN-00000017,ACC-0004,2024-01-31,4829.25,4829.25,0.0,Paid
TXN-00000018,ACC-0004,2024-02-29,4829.25,4829.25,0.0,Paid
TXN-00000019,ACC-0004,2024-03-31,4829.25,4829.25,0.0,Paid
TXN-00000020,ACC-0004,2024-04-30,4829.25,4829.25,0.0,Paid
TXN-00000021,ACC-0005,2023-09-30,8566.67,8566.67,0.0,Paid
TXN-00000022,ACC-0005,2023-10-31,8566.67,8566.67,0.0,Paid
TXN-00000023,ACC-0005,2023-11-30,8566.67,8566.67,0.0,Paid
TXN-00000024,ACC-0005,2023-12-31,8566.67,8566.67,0.0,Paid
TXN-00000025,ACC-0005,2024-01-31,8566.67,8566.67,0.0,Paid
TXN-00000026,ACC-0005,2024-02-29,8566.67,8566.67,0.0,Paid
TXN-00000027,ACC-0006,2024-06-30,4670.0,4670.0,0.0,Paid
TXN-00000028,ACC-0006,2024-07-31,4670.0,4670.0,0.0,Paid
TXN-00000029,ACC-0006,2024-08-31,4670.0,4670.0,0.0,Paid
TXN-00000030,ACC-0006,2024-09-30,4670.0,4670.0,0.0,Paid
TXN-00000031,ACC-0006,2024-10-31,4670.0,4670.0,0.0,Paid
TXN-00000032,ACC-0006,2024-11-30,4670.0,4670.0,0.0,Paid
TXN-00000033,ACC-0006,2024-12-31,4670.0,,,Paid
TXN-00000034,ACC-0008,2024-09-30,5217.08,5217.08,0.0,Paid
TXN-00000035,ACC-0008,2024-10-31,5217.08,5217.08,0.0,Paid
TXN-00000036,ACC-0008,2024-11-30,5217.08,5217.08,0.0,Paid
TXN-00000037,ACC-0008,2024-12-31,5217.08,5217.08,0.0,Paid
TXN-00000038,ACC-0009,2023-12-31,7630.67,7630.67,0.0,Paid
TXN-00000039,ACC-0009,2024-01-31,7630.67,7630.67,0.0,Paid
TXN-00000040,ACC-0009,2024-02-29,7630.67,7630.67,0.0,Paid
TXN-00000041,ACC-0009,2024-03-31,7630.67,7630.67,0.0,Paid
TXN-00000042,ACC-0009,2024-04-30,7630.67,7630.67,0.0,Paid
TXN-00000043,ACC-0009,2024-05-31,7630.67,,,Paid
TXN-00000044,ACC-0009,2024-06-30,7630.67,7630.67,0.0,Paid
TXN-00000045,ACC-0009,2024-07-31,7630.67,7630.67,0.0,Paid
TXN-00000046,ACC-0009,2024-08-31,7630.67,7630.67,0.0,Paid
TXN-00000047,ACC-0010,2023-07-31,5483.11,5483.11,0.0,Paid
TXN-00000048,ACC-0010,2023-08-31,5483.11,5483.11,0.0,Paid
TXN-00000049,ACC-0010,2023-09-30,5483.11,5483.11,0.0,Paid
TXN-00000050,ACC-0010,2023-10-31,5483.11,5483.11,0.0,Paid
TXN-00000051,ACC-0010,2023-11-30,5483.11,5483.11,0.0,Paid
TXN-00000052,ACC-0010,2023-12-31,5483.11,5483.11,0.0,Paid
TXN-00000053,ACC-0010,2024-01-31,5483.11,5483.11,0.0,Paid
TXN-00000054,ACC-0010,2024-02-29,5483.11,5483.11,0.0,Paid
TXN-00000055,ACC-0010,2024-03-31,5483.11,5483.11,0.0,Paid
TXN-00000056,ACC-0012,2023-08-31,6286.46,6286.46,0.0,
TXN-00000057,ACC-0012,2023-09-30,6286.46,6286.46,0.0,Paid
TXN-00000058,ACC-0012,2023-10-31,6286.46,6286.46,0.0,Paid
TXN-00000059,ACC-0012,2023-11-30,6286.46,6286.46,0.0,Paid
TXN-00000060,ACC-0012,2023-12-31,6286.46,6286.46,0.0,Paid
TXN-00000061,ACC-0012,2024-01-31,6286.46,6286.46,0.0,Paid
